epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.0157,1.63795,3.37699,1.20362,0.00768,0.90476,0.04843,0.01666,1.16818,3.39309,0.97489,0.00032,0.00032,0.00032
2,198.906,1.37922,1.86386,1.04549,0.00616,0.72619,0.01013,0.00571,1.17903,3.48889,1.00871,0.000646932,0.000646932,0.000646932
3,310.888,1.24444,1.52484,1.01064,0.00717,0.84524,0.09465,0.06849,1.07302,3.1993,0.96184,0.0009604,0.0009604,0.0009604
4,410.812,1.23317,1.32236,0.9973,1,0.19564,0.51414,0.34655,1.11679,2.61636,0.93314,0.0012604,0.0012604,0.0012604
5,500.438,1.27091,1.23521,1.01974,0.70883,0.18841,0.47606,0.32146,1.15664,2.58718,0.97336,0.00154694,0.00154694,0.00154694
6,587.254,1.17564,1.21077,1.0013,0.63297,0.60566,0.67874,0.40968,1.19425,1.97611,0.94905,0.001802,0.001802,0.001802
7,678.441,1.16878,1.10522,0.98805,0.41606,0.71429,0.40543,0.26822,1.10748,1.95759,0.93771,0.0017624,0.0017624,0.0017624
8,767.074,1.17848,1.12689,0.99347,0.77002,0.85714,0.88953,0.58824,1.05602,1.10779,0.93808,0.0017228,0.0017228,0.0017228
9,855.262,1.08173,0.99592,0.98056,0.81819,0.77686,0.86145,0.62358,1.01384,1.01586,0.9224,0.0016832,0.0016832,0.0016832
10,943.136,1.11788,0.92849,0.9597,0.90402,0.82738,0.9276,0.64038,0.99517,0.93911,0.90766,0.0016436,0.0016436,0.0016436
11,1030.67,1.10135,0.88566,0.96243,0.87979,0.9584,0.9792,0.68832,0.98914,0.86983,0.90079,0.001604,0.001604,0.001604
12,1119.66,1.08664,0.86786,0.95088,0.86787,0.92857,0.96584,0.67114,1.02356,0.79133,0.90031,0.0015644,0.0015644,0.0015644
13,1206.32,1.07615,0.82142,0.94661,0.87262,0.93788,0.96883,0.7072,0.92553,0.72609,0.8945,0.0015248,0.0015248,0.0015248
14,1291.93,1.06738,0.80645,0.94431,0.93306,0.91272,0.97459,0.71266,0.93362,0.72304,0.88979,0.0014852,0.0014852,0.0014852
15,1378.46,1.0692,0.78021,0.95247,0.89847,0.94811,0.97249,0.69878,0.97413,0.7276,0.9006,0.0014456,0.0014456,0.0014456
16,1467.44,1.01877,0.782,0.92323,0.93938,0.9224,0.97749,0.67873,1.04002,0.8161,0.91124,0.001406,0.001406,0.001406
17,1554.7,1.03554,0.74319,0.94297,0.92312,0.92919,0.97968,0.72346,0.89366,0.69548,0.88506,0.0013664,0.0013664,0.0013664
18,1642.9,0.9724,0.70831,0.93425,0.86517,0.84524,0.90971,0.63632,0.94584,0.8385,0.89281,0.0013268,0.0013268,0.0013268
19,1729.76,0.96323,0.70714,0.9269,0.90393,0.89286,0.95707,0.70023,0.91517,0.70304,0.87836,0.0012872,0.0012872,0.0012872
20,1816.84,1.01208,0.71973,0.93886,0.88311,0.95833,0.96743,0.69485,0.92434,0.64945,0.89074,0.0012476,0.0012476,0.0012476
21,1903,0.95355,0.68902,0.91947,0.88826,0.89908,0.9589,0.7012,0.89359,0.68583,0.89247,0.001208,0.001208,0.001208
22,1990.28,0.95778,0.63702,0.92621,0.89983,0.95833,0.97654,0.71593,0.93015,0.62903,0.88621,0.0011684,0.0011684,0.0011684
23,2076.88,0.92475,0.652,0.92282,0.91093,0.94643,0.97546,0.73795,0.85711,0.56971,0.87292,0.0011288,0.0011288,0.0011288
24,2162.36,0.9415,0.61789,0.91792,0.94657,0.94904,0.98438,0.73899,0.91955,0.56491,0.89403,0.0010892,0.0010892,0.0010892
25,2249.1,0.91894,0.60998,0.8974,0.90138,0.97929,0.97926,0.71955,0.84894,0.57868,0.88402,0.0010496,0.0010496,0.0010496
26,2334.94,0.88989,0.60846,0.90362,0.92453,0.94795,0.98011,0.72796,0.8923,0.55084,0.89535,0.00101,0.00101,0.00101
27,2420.71,0.90057,0.60184,0.92015,0.93566,0.95219,0.97583,0.72517,0.90537,0.55862,0.88656,0.0009704,0.0009704,0.0009704
28,2505.43,0.90623,0.5898,0.91275,0.92463,0.94927,0.98365,0.75725,0.85147,0.54241,0.88328,0.0009308,0.0009308,0.0009308
29,2590.96,0.9131,0.60726,0.92152,0.94773,0.9714,0.97865,0.74661,0.86711,0.55257,0.87973,0.0008912,0.0008912,0.0008912
30,2676.65,0.91119,0.58975,0.91787,0.92649,0.97524,0.98291,0.74048,0.86584,0.53185,0.87818,0.0008516,0.0008516,0.0008516
31,2763.29,0.88786,0.57375,0.89761,0.92492,0.97024,0.98429,0.75009,0.92318,0.55667,0.88338,0.000812,0.000812,0.000812
32,2848.94,0.86631,0.55613,0.88539,0.91918,0.97619,0.98335,0.76949,0.88095,0.52861,0.8749,0.0007724,0.0007724,0.0007724
33,2934.3,0.87605,0.55274,0.90177,0.89688,0.9836,0.97365,0.74382,0.84862,0.53967,0.88144,0.0007328,0.0007328,0.0007328
34,3019.95,0.86798,0.55213,0.89685,0.9163,0.9881,0.98213,0.76566,0.8522,0.50167,0.87503,0.0006932,0.0006932,0.0006932
35,3107.75,0.85744,0.55338,0.88851,0.92107,0.9881,0.97801,0.77506,0.824,0.50644,0.87033,0.0006536,0.0006536,0.0006536
36,3195.18,0.85696,0.51976,0.89665,0.91264,0.99494,0.98254,0.76646,0.86176,0.49134,0.87428,0.000614,0.000614,0.000614
37,3281.58,0.85606,0.52872,0.89625,0.9266,0.97689,0.98282,0.77859,0.84437,0.49134,0.8705,0.0005744,0.0005744,0.0005744
38,3369.21,0.86756,0.5342,0.88988,0.94664,0.95833,0.9844,0.77258,0.85576,0.48157,0.87016,0.0005348,0.0005348,0.0005348
39,3454.78,0.8306,0.51933,0.88916,0.9316,0.97292,0.98688,0.76948,0.86348,0.47543,0.87493,0.0004952,0.0004952,0.0004952
40,3540.61,0.842,0.5143,0.89173,0.91716,0.98858,0.98739,0.78212,0.82251,0.46626,0.85987,0.0004556,0.0004556,0.0004556
41,3624.33,0.81478,0.52347,0.87945,0.91879,0.98214,0.98492,0.77792,0.80468,0.49446,0.86036,0.000416,0.000416,0.000416
42,3710.31,0.79203,0.50031,0.86421,0.91655,0.9806,0.9861,0.77531,0.83774,0.47652,0.86858,0.0003764,0.0003764,0.0003764
43,3795.05,0.74732,0.47366,0.87042,0.93165,0.97356,0.98644,0.77153,0.83385,0.47255,0.86527,0.0003368,0.0003368,0.0003368
44,3883.1,0.77333,0.47426,0.86405,0.93502,0.96429,0.98649,0.78331,0.83654,0.46809,0.86765,0.0002972,0.0002972,0.0002972
45,3971.22,0.75371,0.45955,0.86308,0.94007,0.96429,0.98712,0.78313,0.81697,0.45655,0.86137,0.0002576,0.0002576,0.0002576
46,4070.17,0.75,0.45486,0.86496,0.94204,0.97024,0.98829,0.79406,0.79725,0.44751,0.86002,0.000218,0.000218,0.000218
47,4169.51,0.73766,0.45207,0.86473,0.9527,0.95917,0.98878,0.7851,0.80488,0.44396,0.86326,0.0001784,0.0001784,0.0001784
48,4269.69,0.71118,0.44696,0.86311,0.95267,0.95839,0.99019,0.79336,0.80167,0.43441,0.86194,0.0001388,0.0001388,0.0001388
49,4361.21,0.71866,0.43722,0.86811,0.95829,0.97024,0.99041,0.79951,0.79586,0.43503,0.85873,9.92e-05,9.92e-05,9.92e-05
50,4449.79,0.72371,0.44066,0.85601,0.95689,0.97024,0.99037,0.79988,0.78951,0.43367,0.8572,5.96e-05,5.96e-05,5.96e-05
